,__id__,awayTeam,gameState,homeTeam,id,sbId,awayDiff,awayOutcome,dateTime,homeDiff,homeOutcome,score,sport,total,awayOdds,awaySpread,awaySpreadOdds,homeOdds,homeSpread,homeSpreadOdds,over,overOdds,under,underOdds
27,PHITOR4252022,Toronto Raptors,Final,Philadelphia 76ers,PHITOR4252022,18038,15.0,W,2022-04-25T20:00:00,-15.0,L,88-103,nba,191.0,320,8.5,100,-320,-8.5,100,211.5,100,211.5,100
28,PHONO4172022,New Orleans Pelicans,Final,Phoenix Suns,PHONO4172022,18058,-11.0,L,2022-04-17T21:00:00,11.0,W,110-99,nba,209.0,445,10.5,100,-445,-10.5,100,224.0,100,224.0,100
29,PHONO4192022,New Orleans Pelicans,Final,Phoenix Suns,PHONO4192022,18060,11.0,W,2022-04-19T22:00:00,-11.0,L,114-125,nba,239.0,420,9.5,100,-420,-9.5,100,222.0,100,222.0,100
30,PHONO4262022,New Orleans Pelicans,Final,Phoenix Suns,PHONO4262022,18066,-15.0,L,2022-04-26T22:00:00,15.0,W,112-97,nba,209.0,215,6.0,100,-215,-6.0,100,216.0,100,216.0,100
31,TORPHI4202022,Philadelphia 76ers,F/OT,Toronto Raptors,TORPHI4202022,18024,3.0,W,2022-04-20T20:00:00,-3.0,L,101-104,nba,205.0,-120,-2.0,100,120,2.0,100,216.5,100,216.5,100
32,TORPHI4232022,Philadelphia 76ers,Final,Toronto Raptors,TORPHI4232022,18032,-8.0,L,2022-04-23T14:00:00,8.0,W,110-102,nba,212.0,-130,-2.5,100,130,2.5,100,212.5,100,212.5,100
33,TORPHI4282022,Philadelphia 76ers,Final,Toronto Raptors,TORPHI4282022,18044,35.0,W,2022-04-28T19:00:00,-35.0,L,97-132,nba,229.0,-105,-1.0,100,105,1.0,100,209.5,100,209.5,100
34,UTADAL4212022,Dallas Mavericks,Final,Utah Jazz,UTADAL4212022,18027,8.0,W,2022-04-21T21:00:00,-8.0,L,118-126,nba,244.0,315,8.5,100,-315,-8.5,100,208.0,100,208.0,100
35,UTADAL4232022,Dallas Mavericks,Final,Utah Jazz,UTADAL4232022,18033,-1.0,L,2022-04-23T16:30:00,1.0,W,100-99,nba,199.0,200,5.5,100,-200,-5.5,100,214.0,100,214.0,100
36,UTADAL4282022,Dallas Mavericks,Final,Utah Jazz,UTADAL4282022,18043,2.0,W,2022-04-28T22:00:00,-2.0,L,96-98,nba,194.0,-105,-1.0,100,105,1.0,100,210.5,100,210.5,100
